;;;;;;;
Ocorrências de alagamento - 2007 a 2016 - SP;;;;;;;
;;;;;;;
DATA;LOCAL;REFERENCIA;SENTIDO;INICIO;FIM;SITUAÇÃO;SUB
16/03/15;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;AMBOS;30/12/1899 15:23:00;30/12/1899 15:54:00;INTRANSITÁVEL;IP
25/07/07;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;SP/SANTOS;30/12/1899 05:43:00;30/12/1899 06:30:00;INTRANSITÁVEL;IP
22/12/15;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;AMBOS;30/12/1899 18:05:00;30/12/1899 19:00:00;INTRANSITÁVEL;IP
07/01/07;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;SP/SANTOS;30/12/1899 18:58:00;30/12/1899 20:30:00;INTRANSITÁVEL;IP
22/03/12;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;SP/SANTOS;30/12/1899 23:44:00;30/12/1899 00:59:00;TRANSITÁVEL;IP
24/01/10;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;SANTOS/SP;30/12/1899 15:23:00;30/12/1899 15:50:00;TRANSITÁVEL;IP
15/02/11;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;AMBOS;30/12/1899 16:27:00;30/12/1899 17:25:00;INTRANSITÁVEL;IP
14/01/11;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;AMBOS;30/12/1899 16:20:00;30/12/1899 16:59:00;TRANSITÁVEL;IP
10/01/11;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;SP/SANTOS;30/12/1899 23:27:00;30/12/1899 00:50:00;INTRANSITÁVEL;IP
21/01/11;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;SANTOS/SP;30/12/1899 15:10:00;30/12/1899 15:49:00;TRANSITÁVEL;IP
13/02/13;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;SP/SANTOS;30/12/1899 19:56:00;30/12/1899 20:57:00;INTRANSITÁVEL;IP
26/11/09;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;SP/SANTOS;30/12/1899 18:06:00;30/12/1899 19:15:00;INTRANSITÁVEL;IP
26/01/09;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;SP/SANTOS;30/12/1899 18:20:00;30/12/1899 19:10:00;TRANSITÁVEL;IP
22/12/08;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;SP/SANTOS;30/12/1899 16:37:00;30/12/1899 17:44:00;TRANSITÁVEL;IP
16/01/14;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;SP/SANTOS;30/12/1899 14:40:00;30/12/1899 15:16:00;TRANSITÁVEL;IP
13/02/14;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;AMBOS;30/12/1899 17:53:00;30/12/1899 18:49:00;INTRANSITÁVEL;IP
12/04/14;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;AMBOS;30/12/1899 20:59:00;30/12/1899 21:45:00;INTRANSITÁVEL;IP
24/01/14;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;SP/SANTOS;30/12/1899 17:08:00;30/12/1899 17:39:00;INTRANSITÁVEL;IP
21/12/08;ABRAÃO DE MORAIS, AV. PROF.;BOSQUE DA SAÚDE, AV.;AMBOS;30/12/1899 16:28:00;30/12/1899 20:17:00;TRANSITÁVEL;IP
15/01/14;ABRAÃO DE MORAIS, AV. PROF.;CATULO DA PAIXÃO CEARENSE, R.;SP/SANTOS;30/12/1899 19:40:00;30/12/1899 20:57:00;Intransitável;VM
14/03/07;ABRAÃO DE MORAIS, AV. PROF.;CATULO DA PAIXÃO CEARENSE, R.;SP/SANTOS;30/12/1899 17:28:00;30/12/1899 00:02:00;TRANSITÁVEL;IP
04/02/10;ABRAÃO DE MORAIS, AV. PROF.;CATULO DA PAIXÃO CEARENSE, R.;SANTOS/SP;30/12/1899 17:09:00;30/12/1899 18:08:00;INTRANSITÁVEL;IP
