;;;;;;;
Ocorrências de alagamento - 2007 a 2016 - SP;;;;;;;
;;;;;;;
DATA;LOCAL;REFERENCIA;SENTIDO;INICIO;FIM;SITUAÇÃO;SUB
16/01/13;FREI BERTOLDO, R.;AIRTON PRETINI, AV.;ÚNICA;30/12/1899 15:37:00;30/12/1899 16:08:00;TRANSITÁVEL;MO
14/01/13;FREI CANECA, R.;ANTONIA DE QUEIROS, R. DONA;B/C;30/12/1899 06:13:00;30/12/1899 06:57:00;TRANSITÁVEL;SE
15/01/13;FREI CANECA, R.;ANTONIA DE QUEIROS, R. DONA;ÚNICA;30/12/1899 10:21:00;30/12/1899 10:53:00;TRANSITÁVEL;SE
25/11/10;FRONTIN, AV. CONDE DE;ALBERTO BADRA, VD. ENG.;C/B;30/12/1899 18:44:00;30/12/1899 18:48:00;TRANSITÁVEL;MO
28/02/11;FRONTIN, AV. CONDE DE;ALBERTO BADRA, VD. ENG. - ACESSO;C/B;30/12/1899 16:36:00;30/12/1899 20:46:00;INTRANSITÁVEL;MO
08/12/11;FRONTIN, AV. CONDE DE;ALTURA DO N. 2935;C/B;30/12/1899 17:33:00;30/12/1899 17:35:00;TRANSITÁVEL;MO
23/01/12;FRONTIN, AV. CONDE DE;ALTURA DO N. 3047;B/C;30/12/1899 15:01:00;30/12/1899 15:44:00;TRANSITÁVEL;MO
02/03/12;FRONTIN, AV. CONDE DE;ANTONIO DE BARROS, R.;AMBOS;30/12/1899 15:30:00;30/12/1899 15:57:00;TRANSITÁVEL;MO
08/12/11;FRONTIN, AV. CONDE DE;ANTONIO ESTEVÃO DE CARVALHO, AV.;C/B;30/12/1899 17:33:00;30/12/1899 18:08:00;TRANSITÁVEL;MO
08/12/11;FRONTIN, AV. CONDE DE;ANTONIO ESTEVÃO DE CARVALHO, AV.;B/C;30/12/1899 18:12:00;30/12/1899 18:23:00;TRANSITÁVEL;MO
05/12/10;FRONTIN, AV. CONDE DE;ANTONIO ESTEVÃO DE CARVALHO, AV.;B/C;30/12/1899 17:02:00;30/12/1899 00:12:00;TRANSITÁVEL;AF
13/12/10;FRONTIN, AV. CONDE DE;ARICANDUVA, AV.;ÚNICO;30/12/1899 18:13:00;30/12/1899 19:01:00;TRANSITÁVEL;PE
10/02/12;FRONTIN, AV. CONDE DE;ARICANDUVA, AV.;C/B;30/12/1899 18:14:00;30/12/1899 18:07:00;TRANSITÁVEL;MO
26/01/10;FRONTIN, AV. CONDE DE;BERNARDINO BRITO F DE CARVALHO, R.;AMBOS;30/12/1899 16:10:00;30/12/1899 17:01:00;TRANSITÁVEL;MO
12/12/09;FRONTIN, AV. CONDE DE;DONA MATILDE, VD.;C/B;30/12/1899 15:13:00;30/12/1899 18:17:00;TRANSITÁVEL;PE
28/01/10;FRONTIN, AV. CONDE DE;DONA MATILDE, VD.;B/C;30/12/1899 15:26:00;30/12/1899 16:00:00;TRANSITÁVEL;MO
11/01/10;FRONTIN, AV. CONDE DE;DONA MATILDE, VD.;B/C;30/12/1899 18:42:00;30/12/1899 19:49:00;TRANSITÁVEL;MO
28/01/10;FRONTIN, AV. CONDE DE;DONA MATILDE, VD.;C/B;30/12/1899 15:24:00;30/12/1899 16:00:00;TRANSITÁVEL;MO
12/04/12;FRONTIN, AV. CONDE DE;JOAQUIM MARRA, R.;C/B;30/12/1899 17:27:00;30/12/1899 17:58:00;TRANSITÁVEL;PE
21/09/10;FRONTIN, AV. CONDE DE;JOAQUIM MARRA, R.;B/C;30/12/1899 17:23:00;30/12/1899 18:26:00;TRANSITÁVEL;PE
24/07/09;FRONTIN, AV. CONDE DE;JOAQUIM MARRA, R.;B/C;30/12/1899 11:34:00;30/12/1899 12:36:00;TRANSITÁVEL;PE
05/01/10;FRONTIN, AV. CONDE DE;JOAQUIM MARRA, R.;AMBOS;30/12/1899 19:04:00;30/12/1899 21:40:00;TRANSITÁVEL;MO
25/11/10;FRONTIN, AV. CONDE DE;JOAQUIM MARRA, R.;B/C;30/12/1899 18:24:00;30/12/1899 19:03:00;TRANSITÁVEL;MO
21/01/11;FRONTIN, AV. CONDE DE;JOAQUIM MARRA, R.;C/B;30/12/1899 15:50:00;30/12/1899 17:41:00;TRANSITÁVEL;MO
26/01/10;FRONTIN, AV. CONDE DE;JOAQUIM MARRA, R.;AMBOS - ÚNICA;30/12/1899 16:11:00;30/12/1899 17:37:00;INTRANSITÁVEL;MO
12/03/12;FRONTIN, AV. CONDE DE;JOAQUIM MARRA, R.;C/B;30/12/1899 16:10:00;30/12/1899 17:51:00;TRANSITÁVEL;MO
25/11/10;FRONTIN, AV. CONDE DE;JOAQUIM MARRA, R.;C/B;30/12/1899 18:25:00;30/12/1899 18:47:00;TRANSITÁVEL;MO
14/12/12;FRONTIN, AV. CONDE DE;JOAQUIM MARRA, R.;C/B;30/12/1899 16:54:00;30/12/1899 18:44:00;TRANSITÁVEL;MO
17/12/09;FRONTIN, AV. CONDE DE;JOAQUIM MARRA, R.;C/B;30/12/1899 20:10:00;30/12/1899 21:32:00;TRANSITÁVEL;MO
02/03/12;FRONTIN, AV. CONDE DE;PINHALZINHO, R.;C/B;30/12/1899 15:48:00;30/12/1899 16:57:00;TRANSITÁVEL;MO
28/02/11;FRONTIN, AV. CONDE DE;PINHALZINHO, R.;C/B;30/12/1899 17:27:00;30/12/1899 20:46:00;INTRANSITÁVEL;MO
21/02/11;FRONTIN, AV. CONDE DE;PINHALZINHO, R.;AMBOS;30/12/1899 15:20:00;30/12/1899 16:21:00;TRANSITÁVEL;MO
23/01/11;FRONTIN, AV. CONDE DE;PINHALZINHO, R.;C/B;30/12/1899 22:34:00;30/12/1899 03:12:00;TRANSITÁVEL;MO
09/11/10;FRONTIN, AV. CONDE DE;PINHALZINHO, R.;C/B;30/12/1899 22:57:00;30/12/1899 00:35:00;TRANSITÁVEL;MO
11/01/10;FRONTIN, AV. CONDE DE;PINHALZINHO, R.;C/B;30/12/1899 20:27:00;30/12/1899 21:30:00;TRANSITÁVEL;MO
04/01/10;FRONTIN, AV. CONDE DE;PINHALZINHO, R.;C/B;30/12/1899 16:48:00;30/12/1899 17:47:00;TRANSITÁVEL;MO
10/02/12;FRONTIN, AV. CONDE DE;PINHALZINHO, R.;C/B;30/12/1899 17:56:00;30/12/1899 18:03:00;TRANSITÁVEL;MO
26/02/07;FUNCHAL, R.;CARDOSO DE MELO, AV. DR.;B/C;30/12/1899 15:28:00;30/12/1899 15:48:00;TRANSITAVEL;PI
19/03/15;FUNCHAL, R.;CARDOSO DE MELO, AV. DR.;AMBOS;30/12/1899 16:03:00;30/12/1899 16:47:00;Intransitável;PI
11/01/10;FUNCHAL, R.;CARDOSO DE MELO, AV. DR.;B/C;30/12/1899 19:39:00;;TRANSITÁVEL;PI
17/12/08;FUNCHAL, R.;CARDOSO DE MELO, AV. DR.;B/C;30/12/1899 17:38:00;30/12/1899 18:05:00;TRANSITÁVEL;PI
26/01/09;FUNCHAL, R.;CARDOSO DE MELO, AV. DR.;B/C;30/12/1899 17:19:00;30/12/1899 18:19:00;TRANSITÁVEL;PI
31/03/07;FUNCHAL, R.;GOMES DE CARVALHO, R.;B/C;30/12/1899 17:18:00;30/12/1899 20:26:00;TRANSITÁVEL;PI
04/02/10;FUNCHAL, R.;GOMES DE CARVALHO, R.;C/B;30/12/1899 17:15:00;30/12/1899 17:39:00;TRANSITÁVEL;PI
04/02/10;FUNCHAL, R.;GOMES DE CARVALHO, R.;B/C;30/12/1899 17:12:00;30/12/1899 17:39:00;INTRANSITÁVEL;PI
08/03/13;FUNCHAL, R.;GOMES DE CARVALHO, R.;AMBOS;30/12/1899 16:08:00;30/12/1899 19:11:00;INTRANSITÁVEL;PI
17/02/10;FUNCHAL, R.;GOMES DE CARVALHO, R.;B/C;30/12/1899 19:37:00;30/12/1899 19:55:00;TRANSITÁVEL;PI
03/12/09;FUNCHAL, R.;GOMES DE CARVALHO, R.;B/C;30/12/1899 17:04:00;30/12/1899 17:31:00;INTRANSITÁVEL;PI
08/02/09;FUNCHAL, R.;GOMES DE CARVALHO, R.;B/C;30/12/1899 16:30:00;30/12/1899 09:40:00;TRANSITÁVEL;PI
22/12/08;FUNCHAL, R.;GOMES DE CARVALHO, R.;AMBOS;30/12/1899 15:56:00;30/12/1899 17:43:00;TRANSITÁVEL;IP
12/12/09;FURTADO, R. CONS.;ALTURA DO N. 654;C/B;30/12/1899 01:15:00;30/12/1899 06:08:00;TRANSITÁVEL;SE
31/10/11;FURTADO, R. CONS.;ALTURA DO N. 9;B/C;30/12/1899 06:37:00;30/12/1899 14:00:00;TRANSITÁVEL;SE
31/10/07;FURTADO, R. CONS.;BARÃO DE IGUAPE, R;C/B;30/12/1899 19:16:00;30/12/1899 20:41:00;TRANSITÁVEL;SE
05/10/12;FURTADO, R. CONS.;BARÃO DE IGUAPE, R.;ÚNICO;30/12/1899 19:10:00;30/12/1899 06:14:00;TRANSITÁVEL;SE
20/09/12;FURTADO, R. CONS.;BARÃO DE IGUAPE, R.;UNICO;30/12/1899 07:19:00;30/12/1899 08:13:00;TRANSITÁVEL;SE
17/07/12;FURTADO, R. CONS.;BARÃO DE IGUAPE, R.;C/B;30/12/1899 15:36:00;30/12/1899 15:56:00;TRANSITÁVEL;SE
17/10/11;FURTADO, R. CONS.;PIRES DA MOTA, R.;C/B;30/12/1899 07:09:00;30/12/1899 10:17:00;INTRANSITÁVEL;SE
17/10/11;FURTADO, R. CONS.;PIRES DA MOTA, R.;C/B;30/12/1899 07:09:00;30/12/1899 10:17:00;TRANSITÁVEL;SE
14/11/11;FURTADO, R. CONS.;PIRES DA MOTA, R.;C/B;30/12/1899 06:56:00;30/12/1899 08:36:00;TRANSITÁVEL;SE
28/09/15;GABRIEL MIGLIORI, R. MAEST.;ALTURA DO N. 559;ÚNICO;30/12/1899 06:46:00;30/12/1899 11:59:00;Transitável;FO
23/03/15;GABRIEL MIGLIORI, R. MAEST.;DOMINGOS MARCHETTI, R.;C/B;30/12/1899 06:59:00;30/12/1899 07:04:00;Transitável;CV
28/09/15;GABRIEL MIGLIORI, R. MAEST.;FRANCISCO RODRIGUES NUNES, R.;ÚNICO;30/12/1899 05:51:00;30/12/1899 11:59:00;Transitável;FO
17/11/15;GABRIEL MIGLIORI, R. MAEST.;FRANCISCO RODRIGUES NUNES, R.;C/B;30/12/1899 22:01:00;30/12/1899 22:51:00;Transitável;CV
22/12/14;GABRIEL MIGLIORI, R. MAEST.;FRANCISCO RODRIGUES NUNES, R.;ÚNICA;30/12/1899 22:01:00;30/12/1899 01:50:00;Intransitável;CV
22/12/14;GABRIEL MIGLIORI, R. MAEST.;FRANCISCO RODRIGUES NUNES, R.;ÚNICA;30/12/1899 20:15:00;30/12/1899 20:34:00;Transitável;CV
11/03/16;GABRIEL MIGLIORI, R. MAESTRO;DOMINGOS MARCHETTI, R.;AMBOS;30/12/1899 04:49:00;30/12/1899 06:30:00;INtransitável;CV
14/03/07;GABRIEL MIGLIORI, R. MAESTRO;FRANCISCO RODRIGUES NUNES, R.;AMBOS;30/12/1899 17:35:00;30/12/1899 18:40:00;TRANSITÁVEL;CV
16/03/07;GABRIEL MIGLIORI, R. MAESTRO;FRANCISCO RODRIGUES NUNES, R.;AMBOS;30/12/1899 16:35:00;30/12/1899 20:01:00;TRANSITÁVEL;CV
14/02/14;GABRIEL MIGLIORI, R. MAESTRO;FRANCISCO RODRIGUES NUNES, R.;AMBOS;30/12/1899 21:54:00;30/12/1899 01:30:00;TRANSITÁVEL;CV
22/12/14;GAGO COUTINHO, R.;RAIMUNDO PEREIRA DE MAGALHAES, AV.;AMBOS;30/12/1899 22:27:00;30/12/1899 01:50:00;Intransitável;LA
08/03/13;GAIVOTA, R.;IBIJAÚ, AV.;AMBOS;30/12/1899 15:34:00;30/12/1899 16:35:00;TRANSITAVEL;VM
22/12/08;GAIVOTA, R. DA;MACUCO, AV.;ÚNICO;30/12/1899 16:16:00;30/12/1899 17:44:00;INTRANSITÁVEL;MG
21/01/10;GANGES, R.;MANILHA, R.;AMBOS;30/12/1899 04:48:00;30/12/1899 05:39:00;INTRANSITÁVEL;AF
11/07/09;GASOMETRO, R. DO;ALTURA DO N. 85;ÚNICO;30/12/1899 09:04:00;30/12/1899 21:41:00;TRANSITÁVEL;MO
11/03/16;GASTÃO VIDIGAL, AV. DR.;ALTURA DO N. 1357;PI/MARG;30/12/1899 03:17:00;30/12/1899 07:17:00;transitável;LA
11/03/16;GASTÃO VIDIGAL, AV. DR.;ALTURA DO N. 1946;MARG/PI;30/12/1899 02:36:00;30/12/1899 13:38:00;transitável;LA
20/02/08;GASTÃO VIDIGAL, AV. DR.;ALTURA DO N.1946 próx. ESPAÇO CEAGESP;LA/PI;30/12/1899 19:36:00;30/12/1899 03:19:00;TRANSITÁVEL;LA
21/01/10;GASTÃO VIDIGAL, AV. DR.;AROABA, R.;AMBOS;30/12/1899 03:49:00;30/12/1899 10:00:00;INTRANSITÁVEL;LA
27/01/16;GASTÃO VIDIGAL, AV. DR.;CEAGESP;B/C;30/12/1899 16:19:00;30/12/1899 17:40:00;Transitável;LA
08/12/09;GASTÃO VIDIGAL, AV. DR.;HASSIB MOFARREJ, R.;PI/MARG;30/12/1899 11:08:00;30/12/1899 14:57:00;TRANSITÁVEL (I);LA
13/03/08;GASTÃO VIDIGAL, AV. DR.;HAYDEN, R.;B/C;30/12/1899 15:11:00;30/12/1899 19:32:00;TRANSITÁVEL;LA
18/02/08;GASTÃO VIDIGAL, AV. DR.;HAYDEN, R.;LA/PI;30/12/1899 13:49:00;30/12/1899 17:01:00;TRANSITÁVEL;LA
14/02/13;GASTÃO VIDIGAL, AV. DR.;HELIOPOLIS, R.;PI/MARG;30/12/1899 19:04:00;30/12/1899 20:00:00;INTRANSITÁVEL;LA
09/03/13;GASTÃO VIDIGAL, AV. DR.;MACEDO SOARES, AV. EMB.;PI/MARG;30/12/1899 23:30:00;30/12/1899 00:55:00;INTRANSITÁVEL;PI
06/04/10;GASTÃO VIDIGAL, AV. DR.;MERGENTHALER, R.;PI/MARG;30/12/1899 15:47:00;30/12/1899 20:03:00;TRANSITÁVEL;LA
13/03/08;GASTÃO VIDIGAL, AV. DR.;MERGENTHALER, R.;-;30/12/1899 14:38:00;30/12/1899 04:14:00;TRANSITÁVEL;LA
08/09/09;GASTÃO VIDIGAL, AV. DR.;MERGENTHALER, R.;TIETE/PI;30/12/1899 12:14:00;30/12/1899 12:18:00;TRANSITÁVEL;LA
18/02/10;GASTÃO VIDIGAL, AV. DR.;MOFARREJ, AV.;PI/MARG;30/12/1899 05:17:00;30/12/1899 07:31:00;INTRANSITÁVEL;PI
03/01/07;GASTÃO VIDIGAL, AV. DR.;MOFARREJ, AV.;AMBOS;30/12/1899 18:26:00;30/12/1899 19:25:00;TRANSITÁVEL;LA
14/03/07;GASTÃO VIDIGAL, AV. DR.;MOFARREJ, AV.;AMBOS;30/12/1899 17:43:00;30/12/1899 20:23:00;INTRANSITÁVEL;LA
05/01/11;GASTÃO VIDIGAL, AV. DR.;MOFARREJ, AV.;AMBOS;30/12/1899 19:48:00;30/12/1899 20:22:00;INTRANSITÁVEL;LA
05/01/11;GASTÃO VIDIGAL, AV. DR.;MOFARREJ, AV.;AMBOS;30/12/1899 21:05:00;30/12/1899 05:30:00;INTRANSITÁVEL;LA
29/04/08;GASTÃO VIDIGAL, AV. DR.;MOFARREJ, AV.;AMBOS;30/12/1899 18:00:00;30/12/1899 18:51:00;TRANSITÁVEL;LA
13/03/08;GASTÃO VIDIGAL, AV. DR.;MOFARREJ, AV.;AMBOS - ÚNICA;30/12/1899 14:43:00;30/12/1899 15:29:00;TRANSITÁVEL;LA
27/12/12;GASTÃO VIDIGAL, AV. DR.;MOFARREJ, AV.;AMBOS;30/12/1899 17:43:00;30/12/1899 18:36:00;TRANSITÁVEL;LA
17/03/08;GASTÃO VIDIGAL, AV. DR.;PORTÃO 1 CEAGESP;LA/PI;30/12/1899 11:59:00;30/12/1899 19:10:00;TRANSITÁVEL;LA
29/01/08;GASTÃO VIDIGAL, AV. DR.;PORTÃO 1 E 2 DO CEAGESP;LA/PI;30/12/1899 09:26:00;30/12/1899 22:33:00;TRANSITÁVEL;LA
11/04/12;GASTÃO VIDIGAL, AV. DR.;POTSDAM, R.;PI/MARG;30/12/1899 17:26:00;30/12/1899 17:48:00;TRANSITÁVEL;LA
14/02/14;GASTÃO VIDIGAL, AV. DR.;ROBERTO ZUCCOLO, AV. ENG.;AMBOS;30/12/1899 21:43:00;30/12/1899 22:32:00;TRANSITÁVEL;PI
09/03/15;GAUCHA, PÇ.;FRANZ MARC, PÇ.;C/B;30/12/1899 00:12:00;30/12/1899 01:30:00;Intransitável;IP
28/09/10;GAUCHA, PÇ.;GRAÇA MARTINS, R. CEL.;B/C;30/12/1899 06:15:00;30/12/1899 13:20:00;TRANSITÁVEL;IP
04/04/10;GAUCHA, PÇ.;GRAÇA MARTINS, R. CEL.;B/C;30/12/1899 17:30:00;30/12/1899 20:12:00;TRANSITÁVEL;IP
07/02/08;GAVEA, R.;ALTURA DO N. 811;ÚNICO;30/12/1899 16:15:00;30/12/1899 20:23:00;TRANSITÁVEL;MG
03/02/08;GAVIÃO PEIXOTO, R. BRIG.;MERCEDES, AV.;AMBOS;30/12/1899 20:43:00;30/12/1899 02:20:00;TRANSITÁVEL;LA
29/12/12;GENDIROBA, R.;ALTURA DO N. 123;AMBOS;30/12/1899 18:09:00;30/12/1899 20:47:00;TRANSITÁVEL;IQ
09/03/08;GERVASIO LEITE RIBEIRO, R.;ALTURA DO N. 317;AMBOS;30/12/1899 17:19:00;30/12/1899 20:07:00;TRANSITÁVEL;FO
17/02/16;GETULINA, R.;BELMIRO VALVERDE, R.;ÚNICO;30/12/1899 17:59:00;30/12/1899 18:38:00;Intransitável;GU
17/10/09;GETULINA, R.;BOM JESUS DA PENHA, R.;ÚNICO;30/12/1899 14:27:00;30/12/1899 18:46:00;TRANSITÁVEL;GU
10/02/13;GIL PINHEIRO, R. COM.;TAMAINDE, R.;AMBOS;30/12/1899 16:19:00;30/12/1899 18:23:00;INTRANSITÁVEL;AF
11/01/11;GIOVANNI GRONCHI, AV.;ALBERTO AUGUSTO ALVES, AV.;AMBOS;30/12/1899 00:04:00;30/12/1899 01:12:00;TRANSITÁVEL;BT
22/12/08;GIOVANNI GRONCHI, AV.;CARLOS CYRILLO JR, R.;AMBOS;30/12/1899 16:08:00;30/12/1899 16:51:00;TRANSITÁVEL;BT
22/12/08;GIOVANNI GRONCHI, AV.;GOMES PEDROSA, PÇ.;AMBOS;30/12/1899 16:08:00;30/12/1899 16:51:00;INTRANSITÁVEL;BT
26/03/10;GIOVANNI GRONCHI, AV.;ROBERTO GOMES PEDROSA, PÇ.;AMBOS;30/12/1899 14:02:00;30/12/1899 15:33:00;TRANSITÁVEL;BT
27/11/12;GIOVANNI GRONCHI, AV.;SANTO AMERICO, R.;C/B;30/12/1899 11:06:00;30/12/1899 17:30:00;TRANSITÁVEL;BT
17/01/12;GIOVANNI GRONCHI, AV.;SANTO AMÉRICO, R.;AMBOS;30/12/1899 14:50:00;30/12/1899 17:45:00;INTRANSITÁVEL;BT
17/02/10;GIRASSOL, R.;LUIS MURAT, R.;AMBOS;30/12/1899 19:16:00;30/12/1899 03:15:00;TRANSITÁVEL;PI
19/12/14;GIUSEPPE MARINO, R.;PAULO LORENZANI, R.;ÚNICA;30/12/1899 15:40:00;30/12/1899 18:53:00;Intransitável;MG
11/09/15;GLETE, AL.;BARÃO DE CAMPINAS, R.;ÚNICO;30/12/1899 02:33:00;30/12/1899 06:01:00;Transitável;SE
26/06/13;GLETE, AL.;BARÃO DE PIRACICABA, AL.;ÚNICO;30/12/1899 02:15:00;30/12/1899 11:56:00;TRANSITÁVEL;LA
11/12/08;GLETE, AL.;CORAÇÃO DE JESUS, LG.;B/C;30/12/1899 18:37:00;30/12/1899 04:00:00;TRANSITÁVEL;SE
08/01/10;GLETE, AL.;GUAIANASES, R.;ÚNICO;30/12/1899 18:04:00;30/12/1899 21:43:00;TRANSITÁVEL;SE
04/02/13;GLETE, AL.;SÃO JOAO, AV.;ÚNICO;30/12/1899 04:58:00;30/12/1899 06:30:00;TRANSITÁVEL;SE
07/02/07;GLETE, AL.;VITORINO CARMILO, R.;ÚNICO;30/12/1899 23:59:00;30/12/1899 00:33:00;TRANSITÁVEL;SE
08/02/07;GLETE, AL.;VITORINO CARMILO, R.;ÚNICO;30/12/1899 18:37:00;30/12/1899 02:30:00;TRANSITÁVEL;SE
08/01/10;GLETE, AL.;VITORINO CARMILO, R.;ÚNICO;30/12/1899 18:03:00;30/12/1899 21:43:00;TRANSITÁVEL;SE
08/09/09;GLICÉRIO, R. DO;ALTURA DO N. 180;ÚNICO;30/12/1899 11:05:00;30/12/1899 16:24:00;TRANSITÁVEL;MO
09/06/11;GLICÉRIO, R. DO;ALTURA DO N. 221;ÚNICO;30/12/1899 13:37:00;30/12/1899 15:00:00;TRANSITÁVEL;SE
07/11/14;GLICÉRIO, R. DO;ALTURA DO N. 345;ÚNICO;30/12/1899 17:49:00;30/12/1899 18:06:00;INTRANSITÁVEL;SE
04/01/10;GLICÉRIO, R. DO;ALTURA DO N. 451;ÚNICO;30/12/1899 16:49:00;30/12/1899 20:30:00;TRANSITÁVEL;MO
17/03/09;GLICÉRIO, R. DO;FREDERICO ALVARENGA, R.;ÚNICO;30/12/1899 16:52:00;30/12/1899 03:54:00;TRANSITÁVEL;MO
19/01/11;GLICÉRIO, R. DO;MARIO MARGARIDO, PÇ. DR.;ÚNICO;30/12/1899 17:46:00;30/12/1899 21:51:00;TRANSITÁVEL;SE
15/10/11;GLICÉRIO, R. DO;MARIO MARGARIDO, PÇ. DR.;ÚNICO;30/12/1899 14:05:00;30/12/1899 19:00:00;INTRANSITÁVEL;SE
10/03/16;GLICÉRIO, R. DO;MAURITI, R. ALM.;B/C;30/12/1899 16:21:00;30/12/1899 18:56:00;transitável;SE
16/02/11;GLICÉRIO, R. DO;MAURITI, R. ALM.;ÚNICO;30/12/1899 17:31:00;30/12/1899 18:02:00;INTRANSITÁVEL;MO
03/07/15;GLICÉRIO, R. DO;OSCAR CINTRA GODINHO, R.;ÚNICO;30/12/1899 11:35:00;30/12/1899 14:20:00;TRANSITÁVEL;SE
21/12/15;GLICÉRIO, R. DO;SÃO PAULO, R.;ÚNICO;30/12/1899 18:04:00;30/12/1899 18:29:00;INTRANSITÁVEL;SE
01/03/16;GLICÉRIO, R. DO;SÃO PAULO, R.;ÚNICO;30/12/1899 08:29:00;30/12/1899 22:47:00;transitável;SE
10/02/16;GLICÉRIO, R. DO;SÃO PAULO, R.;C/B;30/12/1899 17:31:00;30/12/1899 19:05:00;Intransitável;SE
19/03/07;GLICÉRIO, R. DO;SÃO PAULO, R.;B/C;30/12/1899 03:00:00;30/12/1899 06:51:00;TRANSITÁVEL;SE
14/03/07;GLICÉRIO, R. DO;SÃO PAULO, R.;CRUZAMENTO;30/12/1899 16:33:00;30/12/1899 21:37:00;TRANSITÁVEL (I);SE
17/02/10;GLICÉRIO, R. DO;SÃO PAULO, R.;ÚNICO;30/12/1899 18:55:00;30/12/1899 20:21:00;TRANSITÁVEL;SE
03/01/08;GLICÉRIO, R. DO;SÃO PAULO, R.;ÚNICO;30/12/1899 19:07:00;30/12/1899 19:39:00;TRANSITÁVEL;SE
06/03/15;GLICÉRIO, R. DO;SÃO PAULO, R.;ÚNICA;30/12/1899 16:37:00;30/12/1899 17:45:00;Transitável;MO
10/01/11;GLICÉRIO, R. DO;SÃO PAULO, R.;C/B;30/12/1899 23:10:00;30/12/1899 09:39:00;INTRANSITÁVEL;MO
25/02/09;GLICÉRIO, R. DO;SÃO PAULO, R.;AMBOS;30/12/1899 17:17:00;30/12/1899 18:54:00;TRANSITÁVEL;MO
01/11/15;GLICÉRIO, VD. DO;ALTURA DO N. 1;PE/LA;30/12/1899 07:25:00;30/12/1899 21:36:00;Transitável;SE
01/11/15;GLICÉRIO, VD. DO;ALTURA DO N. 1;PE/LA;30/12/1899 07:25:00;30/12/1899 21:36:00;Transitável;PE
21/01/14;GLICÉRIO, VD. DO;ALTURA DO N. 102;PE/LA;30/12/1899 19:26:00;30/12/1899 20:16:00;TRANSITAVEL;MO
03/07/15;GLICÉRIO, VD. DO;ALTURA DO N. 812;LA/PE;30/12/1899 06:15:00;30/12/1899 07:30:00;TRANSITÁVEL;SE
18/02/10;GLICÉRIO, VD. DO;GLICÉRIO, R. DO;PE/LA;30/12/1899 04:07:00;30/12/1899 11:56:00;TRANSITÁVEL;SE
16/02/15;GLICÉRIO, VD. DO;GLICÉRIO, R. DO;PE/LA;30/12/1899 21:41:00;30/12/1899 22:11:00;Intransitável;SE
13/12/10;GLICÉRIO, VD. DO;GLICÉRIO, R. DO;PE/LA;30/12/1899 01:32:00;30/12/1899 02:20:00;TRANSITÁVEL;MO
15/12/11;GLICÉRIO, VD. DO;GLICÉRIO, R. DO;LA/PE;30/12/1899 05:22:00;30/12/1899 05:51:00;TRANSITÁVEL;MO
22/12/14;GLICÉRIO, VD. DO;GLICÉRIO, R. DO;PE/LA;30/12/1899 22:12:00;30/12/1899 01:47:00;Transitável;MO
02/01/11;GLICÉRIO, VD. DO;LESTE-OESTE, VD.;LA/PE;30/12/1899 08:41:00;30/12/1899 10:02:00;TRANSITÁVEL;SE
21/02/11;GLICÉRIO, VD. DO;LESTE-OESTE, VD.;PE/LA;30/12/1899 15:39:00;30/12/1899 17:03:00;TRANSITÁVEL;MO
03/02/10;GLICÉRIO, VD. DO;LESTE-OESTE, VD.;LA/PE;30/12/1899 19:08:00;30/12/1899 19:49:00;TRANSITÁVEL;MO
04/02/10;GLICÉRIO, VD. DO;LESTE-OESTE, VD.;C/B;30/12/1899 17:54:00;30/12/1899 18:39:00;TRANSITÁVEL;MO
03/01/08;GLICÉRIO, VD. DO;LIGAÇÃO LESTE-OESTE;LA/PE;30/12/1899 19:13:00;30/12/1899 19:52:00;TRANSITÁVEL;MO
13/01/09;GLICÉRIO, VD. DO;LIGAÇÃO LESTE-OESTE;AMBOS;30/12/1899 00:43:00;30/12/1899 08:38:00;TRANSITÁVEL;MO
21/02/11;GLICÉRIO, VD. DO;PASSOS, AV. PREF.;B/C;30/12/1899 15:43:00;30/12/1899 17:03:00;TRANSITÁVEL;MO
14/01/09;GLICÉRIO, VD. DO;SÃO PAULO, R.;LA/PE;30/12/1899 17:08:00;30/12/1899 21:15:00;TRANSITÁVEL;MO
07/02/09;GLICÉRIO, VD. DO;SÃO PAULO, R.;PE/LA;30/12/1899 18:53:00;30/12/1899 01:02:00;TRANSITÁVEL;MO
08/02/07;GLICÉRIO, VD. DO;TRINTA E UM DE MARÇO, VD.;LA/PE;30/12/1899 02:50:00;30/12/1899 04:15:00;TRANSITÁVEL;SE
22/12/08;GOIAS, AV. DQSA. DE;NELSON HUNGRIA, R. MIN.;AMBOS;30/12/1899 17:29:00;30/12/1899 19:21:00;INTRANSITÁVEL;BT
22/12/08;GOMES DE CARVALHO, R.;LOURENÇO MARQUES, R.;ÚNICO;30/12/1899 16:31:00;30/12/1899 19:47:00;TRANSITÁVEL;PI
14/02/13;GONÇALO MADEIRA, AV.;VIDAL, AV. GAL.;AMBOS;30/12/1899 18:20:00;30/12/1899 20:00:00;INTRANSITÁVEL;LA
25/06/09;GRAÇA, R. DA;SILVA PINTO, R.;ÚNICO;30/12/1899 08:02:00;30/12/1899 16:16:00;TRANSITÁVEL;SE
08/12/09;GRAÇA, R. DA;SILVA PINTO, R.;ÚNICO;30/12/1899 10:42:00;30/12/1899 15:38:00;TRANSITÁVEL;SE
